date,open,high,low,close,volume
2023-08-16 00:00:00+05:30,82.0,95.45,82.0,92.2,204417099
2023-08-17 00:00:00+05:30,92.3,93.5,86.65,89.9,32761572
2023-08-18 00:00:00+05:30,89.05,90.15,87.2,88.25,8974679
2023-08-21 00:00:00+05:30,88.3,88.8,83.75,86.05,8201753
2023-08-22 00:00:00+05:30,86.05,92.75,86.0,90.35,13550199
2023-08-23 00:00:00+05:30,91.25,91.45,87.45,87.8,3752822
2023-08-24 00:00:00+05:30,88.2,89.4,87.1,88.25,2377996
2023-08-25 00:00:00+05:30,87.8,89.7,87.5,88.3,2086417
2023-08-28 00:00:00+05:30,88.75,89.3,86.7,86.95,1479523
2023-08-29 00:00:00+05:30,87.0,87.6,85.75,86.1,1096395
2023-08-30 00:00:00+05:30,90.35,92.9,88.2,89.15,7037224
2023-08-31 00:00:00+05:30,89.0,89.8,87.6,88.0,2099547
2023-09-01 00:00:00+05:30,88.0,88.25,86.0,86.85,1525341
2023-09-04 00:00:00+05:30,87.05,88.0,86.0,86.4,1568536
2023-09-05 00:00:00+05:30,86.5,87.5,85.0,87.0,3178507
2023-09-06 00:00:00+05:30,86.0,87.75,86.0,87.0,1599178
2023-09-07 00:00:00+05:30,86.6,91.35,86.5,89.35,4912902
2023-09-08 00:00:00+05:30,89.0,90.4,88.6,88.9,1343283
2023-09-11 00:00:00+05:30,89.0,89.35,86.65,86.8,1852263
2023-09-12 00:00:00+05:30,87.0,88.4,84.6,85.2,2199598
2023-09-13 00:00:00+05:30,85.3,86.35,84.0,84.3,3609195
2023-09-14 00:00:00+05:30,84.85,88.35,84.4,86.5,2825809
2023-09-15 00:00:00+05:30,86.8,87.9,85.25,85.9,1064692
2023-09-18 00:00:00+05:30,86.0,86.9,85.15,85.65,998469
2023-09-20 00:00:00+05:30,85.7,87.85,85.4,86.55,1612749
2023-09-21 00:00:00+05:30,86.75,86.75,84.5,84.95,1064560
2023-09-22 00:00:00+05:30,85.0,86.3,84.55,85.2,950727
2023-09-25 00:00:00+05:30,85.6,86.55,83.5,83.7,818441
2023-09-26 00:00:00+05:30,84.1,84.25,82.1,83.2,1400116
2023-09-27 00:00:00+05:30,83.2,83.9,82.6,83.05,880742
2023-09-28 00:00:00+05:30,83.15,83.7,82.6,82.95,501046
2023-09-29 00:00:00+05:30,83.3,83.65,82.85,83.25,469621
2023-10-03 00:00:00+05:30,83.45,84.1,82.55,82.8,563440
2023-10-04 00:00:00+05:30,82.8,83.0,80.85,81.7,752546
2023-10-05 00:00:00+05:30,81.8,87.65,81.5,84.15,3733476
2023-10-06 00:00:00+05:30,85.2,88.35,84.55,86.85,2313482
2023-10-09 00:00:00+05:30,85.7,85.7,82.1,83.0,1342030
2023-10-10 00:00:00+05:30,83.25,85.45,82.9,84.3,758730
2023-10-11 00:00:00+05:30,86.25,87.0,84.25,84.6,1065420
2023-10-12 00:00:00+05:30,84.9,85.4,82.95,83.4,657488
2023-10-13 00:00:00+05:30,83.3,84.85,83.05,84.25,888946
2023-10-16 00:00:00+05:30,84.5,84.95,84.0,84.15,443780
2023-10-17 00:00:00+05:30,84.5,84.85,83.15,83.3,484027
2023-10-18 00:00:00+05:30,83.1,83.55,82.55,82.8,797034
2023-10-19 00:00:00+05:30,82.5,83.05,82.5,82.9,283511
