date,open,high,low,close,volume
2022-02-17 00:00:00+05:30,40.55,41.0,39.6,39.8,13745
2022-02-18 00:00:00+05:30,39.95,40.7,38.85,39.25,83785
2022-02-21 00:00:00+05:30,39.6,40.0,38.4,38.9,54395
2022-02-22 00:00:00+05:30,39.4,39.6,38.0,38.4,19985
2022-02-23 00:00:00+05:30,38.55,39.6,38.5,39.15,4615
2022-02-24 00:00:00+05:30,39.0,39.0,37.15,37.45,57520
2022-02-25 00:00:00+05:30,37.7,39.3,37.7,39.1,20100
2022-02-28 00:00:00+05:30,39.9,39.9,37.45,38.4,15030
2022-03-02 00:00:00+05:30,38.4,39.4,38.05,38.75,186580
2022-03-03 00:00:00+05:30,38.95,39.35,38.2,38.95,8375
2022-03-04 00:00:00+05:30,38.95,39.15,37.55,38.7,40185
2022-03-07 00:00:00+05:30,38.7,39.75,36.4,38.0,56080
2022-03-08 00:00:00+05:30,38.15,40.0,38.0,39.95,14495
2022-03-09 00:00:00+05:30,40.0,40.75,37.85,38.4,93755
2022-03-10 00:00:00+05:30,39.8,45.05,38.85,44.15,211920
2022-03-11 00:00:00+05:30,45.0,45.0,38.25,38.9,142065
2022-03-14 00:00:00+05:30,39.5,40.0,38.7,39.4,21610
2022-03-15 00:00:00+05:30,39.4,39.5,38.6,38.8,42595
2022-03-16 00:00:00+05:30,40.0,40.0,38.6,39.5,3550
2022-03-17 00:00:00+05:30,39.75,41.1,39.75,39.9,7080
2022-03-21 00:00:00+05:30,40.7,41.2,39.7,39.9,14305
2022-03-22 00:00:00+05:30,39.95,40.6,39.0,40.05,27365
2022-03-23 00:00:00+05:30,40.15,40.8,39.85,40.4,34325
2022-03-24 00:00:00+05:30,40.8,41.0,39.4,40.2,11240
2022-03-25 00:00:00+05:30,40.8,40.8,39.45,40.35,9950
2022-03-28 00:00:00+05:30,40.8,40.8,39.65,39.9,15200
2022-03-29 00:00:00+05:30,39.4,40.8,39.4,40.25,8870
2022-03-30 00:00:00+05:30,40.8,40.8,40.35,40.55,10160
2022-03-31 00:00:00+05:30,41.4,42.0,40.25,40.7,5090
2022-04-01 00:00:00+05:30,41.4,41.95,40.0,40.85,21115
2022-04-04 00:00:00+05:30,41.6,41.8,40.6,41.3,8945
2022-04-05 00:00:00+05:30,40.85,42.4,40.45,41.8,37350
2022-04-06 00:00:00+05:30,41.65,42.4,41.0,41.8,13325
2022-04-07 00:00:00+05:30,42.6,42.8,41.1,41.6,10465
2022-04-08 00:00:00+05:30,42.0,42.6,41.3,42.3,15285
2022-04-11 00:00:00+05:30,43.2,43.2,41.4,41.9,23350
2022-04-12 00:00:00+05:30,42.95,42.95,40.8,41.1,30125
2022-04-13 00:00:00+05:30,41.95,41.95,41.0,41.05,19370
2022-04-18 00:00:00+05:30,41.95,41.95,39.4,40.25,77640
2022-04-19 00:00:00+05:30,40.55,40.8,39.6,40.0,34520
2022-04-20 00:00:00+05:30,40.6,40.6,39.6,39.75,24170
2022-04-21 00:00:00+05:30,40.8,40.8,39.5,39.75,14750
2022-04-22 00:00:00+05:30,39.75,40.75,39.2,39.95,12220
2022-04-25 00:00:00+05:30,39.75,40.15,39.0,39.25,28930
2022-04-26 00:00:00+05:30,40.2,40.2,39.05,39.55,7770
2022-04-27 00:00:00+05:30,39.55,39.6,38.8,39.2,19370
2022-04-28 00:00:00+05:30,40.0,40.0,39.0,39.4,9910
2022-04-29 00:00:00+05:30,39.9,39.9,39.0,39.4,13355
2022-05-02 00:00:00+05:30,39.8,39.8,38.4,38.4,80275
2022-05-04 00:00:00+05:30,38.8,39.4,37.5,37.6,42375
2022-05-05 00:00:00+05:30,38.6,41.75,37.75,37.9,212925
2022-05-06 00:00:00+05:30,37.9,38.4,36.75,37.15,54375
2022-05-09 00:00:00+05:30,37.05,37.6,36.0,36.35,37905
2022-05-10 00:00:00+05:30,37.0,37.0,35.65,35.85,45890
2022-05-11 00:00:00+05:30,36.6,36.6,34.9,35.55,49440
2022-05-12 00:00:00+05:30,35.55,35.55,34.2,34.6,89595
2022-05-13 00:00:00+05:30,35.0,35.6,34.3,34.8,16730
2022-05-16 00:00:00+05:30,35.6,35.6,34.6,34.85,30130
2022-05-17 00:00:00+05:30,35.75,36.8,35.0,36.15,10895
