date,open,high,low,close,volume
2020-08-20 00:00:00+05:30,18.25,18.25,18.15,18.15,11430
2020-08-21 00:00:00+05:30,19.0,19.0,18.15,18.15,1380
2020-08-24 00:00:00+05:30,18.2,18.2,17.85,18.0,9860
2020-08-25 00:00:00+05:30,17.85,18.0,17.85,18.0,3990
2020-08-26 00:00:00+05:30,18.0,18.2,18.0,18.15,2920
2020-08-27 00:00:00+05:30,18.25,18.25,18.2,18.2,52030
2020-08-28 00:00:00+05:30,19.0,21.2,18.1,18.25,17480
2020-08-31 00:00:00+05:30,18.25,18.45,17.9,18.0,3080
2020-09-01 00:00:00+05:30,18.4,18.5,17.85,17.85,8070
2020-09-02 00:00:00+05:30,18.1,18.2,17.95,18.1,10740
2020-09-03 00:00:00+05:30,18.1,18.35,18.1,18.35,2150
2020-09-04 00:00:00+05:30,18.25,18.3,18.1,18.15,4070
2020-09-07 00:00:00+05:30,18.3,18.4,18.05,18.05,2350
2020-09-08 00:00:00+05:30,17.6,18.7,17.6,18.45,14581330
2020-09-09 00:00:00+05:30,19.2,19.2,17.85,18.3,3777510
2020-09-10 00:00:00+05:30,18.3,18.4,18.25,18.4,8590
2020-09-11 00:00:00+05:30,18.3,18.75,18.1,18.65,135370
2020-09-14 00:00:00+05:30,18.7,19.5,18.5,19.45,73580
2020-09-15 00:00:00+05:30,19.45,20.2,19.45,19.7,2555740
2020-09-16 00:00:00+05:30,19.5,19.85,19.5,19.65,21328060
2020-09-17 00:00:00+05:30,19.65,20.0,19.65,19.9,494950
2020-09-18 00:00:00+05:30,23.45,23.45,19.6,19.95,11310
2020-09-21 00:00:00+05:30,19.9,20.35,19.75,19.75,10871800
2020-09-22 00:00:00+05:30,19.75,20.2,19.4,19.95,11662220
2020-09-23 00:00:00+05:30,20.4,22.8,19.7,19.85,10882750
2020-09-24 00:00:00+05:30,19.6,19.65,19.0,19.0,1139670
2020-09-25 00:00:00+05:30,22.5,22.5,19.2,19.6,26020
2020-09-28 00:00:00+05:30,19.7,19.9,19.5,19.85,1051380
2020-09-29 00:00:00+05:30,19.9,20.1,15.9,19.85,105290
2020-09-30 00:00:00+05:30,20.0,20.05,19.8,20.0,481970
2020-10-01 00:00:00+05:30,20.15,21.0,20.0,20.1,42800
2020-10-05 00:00:00+05:30,20.3,21.0,20.1,20.95,932100
2020-10-06 00:00:00+05:30,20.9,21.0,20.65,21.0,207710
2020-10-07 00:00:00+05:30,20.9,21.1,20.8,21.1,2766130
2020-10-08 00:00:00+05:30,21.9,22.95,21.5,21.85,4329590
2020-10-09 00:00:00+05:30,22.95,22.95,21.55,21.85,145360
2020-10-12 00:00:00+05:30,22.9,22.95,21.9,22.3,551790
2020-10-13 00:00:00+05:30,22.7,23.05,21.55,22.7,7412040
2020-10-14 00:00:00+05:30,23.2,23.2,22.2,22.25,695660
2020-10-15 00:00:00+05:30,22.6,22.6,21.5,21.65,11651600
2020-10-16 00:00:00+05:30,22.75,22.75,21.0,21.6,233780
2020-10-19 00:00:00+05:30,21.65,21.65,21.4,21.45,63550
2020-10-20 00:00:00+05:30,21.7,22.0,21.6,21.75,890150
2020-10-21 00:00:00+05:30,21.8,22.2,21.5,21.6,6731260
2020-10-22 00:00:00+05:30,21.7,21.75,21.35,21.45,22690
2020-10-23 00:00:00+05:30,21.5,21.75,21.45,21.7,1375050
2020-10-26 00:00:00+05:30,22.3,25.7,21.2,21.3,98720
2020-10-27 00:00:00+05:30,21.3,21.3,21.0,21.1,115470
2020-10-28 00:00:00+05:30,21.1,21.3,20.9,20.95,255100
2020-10-29 00:00:00+05:30,20.95,21.0,20.4,21.0,38880
2020-10-30 00:00:00+05:30,21.0,21.3,20.95,21.1,31030
2020-11-02 00:00:00+05:30,21.7,21.7,20.8,20.9,63240
2020-11-03 00:00:00+05:30,20.9,21.05,20.35,20.95,353880
2020-11-04 00:00:00+05:30,21.2,21.5,21.1,21.25,209270
2020-11-05 00:00:00+05:30,21.3,21.7,21.25,21.55,354290
2020-11-06 00:00:00+05:30,21.55,21.65,21.4,21.6,264630
2020-11-09 00:00:00+05:30,22.0,22.5,21.7,21.95,13292900
2020-11-10 00:00:00+05:30,22.3,22.3,21.05,21.05,567710
2020-11-11 00:00:00+05:30,21.7,21.95,21.1,21.5,8265460
2020-11-12 00:00:00+05:30,21.5,21.7,21.35,21.55,241530
2020-11-13 00:00:00+05:30,21.55,21.6,21.45,21.6,16880
2020-11-14 00:00:00+05:30,22.3,22.3,21.6,21.7,36030
2020-11-17 00:00:00+05:30,21.7,21.7,21.5,21.55,2617430
2020-11-18 00:00:00+05:30,21.7,21.8,21.25,21.35,1276180
2020-11-19 00:00:00+05:30,21.5,21.6,21.2,21.25,6732050
2020-11-20 00:00:00+05:30,22.2,22.2,20.8,21.55,17460
2020-11-23 00:00:00+05:30,22.3,22.3,21.2,22.15,2666400
2020-11-24 00:00:00+05:30,22.15,22.45,22.15,22.25,186550
2020-11-25 00:00:00+05:30,22.2,22.2,21.9,21.9,16680
2020-11-26 00:00:00+05:30,21.9,22.2,21.3,21.95,42250
2020-11-27 00:00:00+05:30,21.9,22.0,21.9,21.95,6540
2020-12-01 00:00:00+05:30,21.95,22.3,21.95,22.3,57200
2020-12-02 00:00:00+05:30,22.3,22.5,22.15,22.4,24320
2020-12-03 00:00:00+05:30,22.4,22.45,22.4,22.4,39390
2020-12-04 00:00:00+05:30,22.3,22.55,22.3,22.5,20080
2020-12-07 00:00:00+05:30,22.7,22.8,22.45,22.5,130290
2020-12-08 00:00:00+05:30,22.4,22.8,22.4,22.75,3991470
2020-12-09 00:00:00+05:30,23.3,23.3,22.8,22.9,27020
2020-12-10 00:00:00+05:30,22.95,23.3,22.75,22.95,51160
2020-12-11 00:00:00+05:30,23.1,23.3,22.7,22.75,19430
2020-12-14 00:00:00+05:30,22.7,23.4,22.5,22.85,169900
2020-12-15 00:00:00+05:30,22.85,22.95,22.8,22.9,3260
2020-12-16 00:00:00+05:30,22.5,23.05,22.5,23.0,28750
2020-12-17 00:00:00+05:30,22.95,23.1,22.95,23.0,77650
2020-12-18 00:00:00+05:30,23.3,23.55,23.3,23.45,162300
2020-12-21 00:00:00+05:30,24.15,24.15,22.8,23.1,619750
2020-12-22 00:00:00+05:30,23.05,23.9,22.95,23.8,11666770
2020-12-23 00:00:00+05:30,23.5,25.45,23.05,24.65,9835970
2020-12-24 00:00:00+05:30,25.45,25.45,23.95,24.15,3162560
2020-12-28 00:00:00+05:30,24.9,24.9,24.15,24.3,1995190
2020-12-29 00:00:00+05:30,24.5,24.6,24.25,24.4,972080
2020-12-30 00:00:00+05:30,25.15,25.45,24.35,24.4,2553700
2020-12-31 00:00:00+05:30,24.5,24.5,24.3,24.35,1173960
2021-01-01 00:00:00+05:30,25.1,25.45,24.35,24.65,135930
2021-01-04 00:00:00+05:30,25.4,26.0,24.65,25.3,2220250
2021-01-05 00:00:00+05:30,26.05,26.15,25.05,25.85,199570
2021-01-06 00:00:00+05:30,25.9,26.8,25.35,25.55,253260
2021-01-07 00:00:00+05:30,26.45,26.45,25.2,25.4,1814940
2021-01-08 00:00:00+05:30,26.1,26.3,25.35,26.25,2126700
2021-01-11 00:00:00+05:30,27.05,27.5,26.35,27.25,1146150
2021-01-12 00:00:00+05:30,27.5,28.7,27.0,27.15,622080
2021-01-13 00:00:00+05:30,27.85,27.9,26.9,27.15,310730
2021-01-14 00:00:00+05:30,27.5,27.5,26.5,27.15,298790
2021-01-15 00:00:00+05:30,27.95,27.95,26.5,26.6,327680
2021-01-18 00:00:00+05:30,27.2,27.2,25.9,26.15,511760
2021-01-19 00:00:00+05:30,26.8,26.8,26.1,26.3,69590
2021-01-20 00:00:00+05:30,26.6,26.9,26.45,26.7,83250
2021-01-21 00:00:00+05:30,27.5,27.5,26.55,26.65,370500
2021-01-22 00:00:00+05:30,26.55,27.1,26.55,26.7,301120
2021-01-25 00:00:00+05:30,27.2,27.2,26.1,26.3,69320
2021-01-27 00:00:00+05:30,26.7,26.7,25.5,25.95,852990
2021-01-28 00:00:00+05:30,26.0,26.3,25.4,25.5,7596030
