date,open,high,low,close,volume
2022-12-29 00:00:00+05:30,367.0,373.0,351.0,363.85,7525533
2022-12-30 00:00:00+05:30,365.0,370.8,342.35,344.5,1383751
2023-01-02 00:00:00+05:30,344.0,355.05,334.0,352.65,626106
2023-01-03 00:00:00+05:30,352.5,360.35,352.0,358.25,457611
2023-01-04 00:00:00+05:30,358.0,358.0,352.3,354.75,186551
2023-01-05 00:00:00+05:30,353.0,355.75,344.05,347.25,99709
2023-01-06 00:00:00+05:30,347.0,352.0,342.0,345.3,167591
2023-01-09 00:00:00+05:30,345.0,347.4,336.0,339.9,145951
2023-01-10 00:00:00+05:30,340.0,343.8,335.15,337.45,569204
2023-01-11 00:00:00+05:30,342.5,342.5,331.0,332.45,167618
2023-01-12 00:00:00+05:30,332.0,335.9,328.0,328.8,157134
2023-01-13 00:00:00+05:30,329.8,337.6,328.0,334.7,86403
2023-01-16 00:00:00+05:30,337.95,340.0,332.0,333.75,112551
2023-01-17 00:00:00+05:30,336.0,336.05,332.0,333.2,49211
2023-01-18 00:00:00+05:30,334.0,335.7,330.8,332.95,72953
2023-01-19 00:00:00+05:30,334.9,341.55,332.45,335.0,450363
2023-01-20 00:00:00+05:30,335.0,338.8,333.0,334.5,169620
2023-01-23 00:00:00+05:30,335.0,338.4,333.05,336.4,103954
2023-01-24 00:00:00+05:30,338.0,342.95,336.2,340.4,672183
2023-01-25 00:00:00+05:30,340.8,342.95,330.5,332.0,70179
2023-01-27 00:00:00+05:30,331.1,335.8,315.0,316.4,241863
2023-01-30 00:00:00+05:30,314.0,325.25,312.7,322.05,117095
2023-01-31 00:00:00+05:30,322.05,327.2,319.0,319.7,120634
2023-02-01 00:00:00+05:30,318.1,324.75,304.5,308.05,163043
2023-02-02 00:00:00+05:30,303.0,317.0,303.0,307.95,62909
2023-02-03 00:00:00+05:30,309.95,309.95,290.35,300.1,230638
2023-02-06 00:00:00+05:30,296.0,311.5,296.0,307.8,63341
2023-02-07 00:00:00+05:30,307.8,308.65,300.3,303.1,67125
2023-02-08 00:00:00+05:30,301.0,307.45,301.0,305.1,45681
2023-02-09 00:00:00+05:30,305.1,318.6,303.0,316.85,128916
2023-02-10 00:00:00+05:30,317.7,321.0,315.05,318.9,48826
2023-02-13 00:00:00+05:30,322.0,329.1,312.15,313.25,113862
2023-02-14 00:00:00+05:30,311.2,318.95,311.15,314.55,69940
2023-02-15 00:00:00+05:30,318.0,320.95,314.55,315.1,49956
2023-02-16 00:00:00+05:30,319.85,319.85,313.05,317.25,125893
2023-02-17 00:00:00+05:30,317.25,319.35,315.05,318.15,73145
2023-02-20 00:00:00+05:30,319.9,328.85,308.0,315.05,136656
2023-02-21 00:00:00+05:30,312.0,315.0,303.6,306.15,107722
2023-02-22 00:00:00+05:30,309.2,309.2,294.7,298.5,160067
2023-02-23 00:00:00+05:30,298.95,299.9,290.5,293.2,78168
2023-02-24 00:00:00+05:30,304.0,304.0,293.55,296.55,35781
2023-02-27 00:00:00+05:30,294.0,298.5,291.75,292.5,59294
2023-02-28 00:00:00+05:30,292.5,298.35,291.2,294.4,213921
2023-03-01 00:00:00+05:30,298.8,298.8,291.0,293.0,112961
2023-03-02 00:00:00+05:30,292.95,293.35,289.0,290.2,108481
2023-03-03 00:00:00+05:30,292.0,294.7,291.3,293.2,54886
2023-03-06 00:00:00+05:30,293.2,309.6,292.65,298.85,171985
2023-03-08 00:00:00+05:30,298.85,303.45,297.4,301.8,95727
2023-03-09 00:00:00+05:30,306.35,306.35,298.7,301.35,79133
2023-03-10 00:00:00+05:30,299.0,299.05,294.85,297.7,35527
2023-03-13 00:00:00+05:30,297.65,297.7,291.3,293.25,142056
2023-03-14 00:00:00+05:30,293.25,296.9,288.0,288.9,126308
2023-03-15 00:00:00+05:30,291.95,294.7,288.7,290.35,52306
2023-03-16 00:00:00+05:30,293.0,293.25,276.1,283.6,88012
2023-03-17 00:00:00+05:30,283.0,286.55,279.25,280.65,87101
2023-03-20 00:00:00+05:30,276.0,281.1,272.0,272.85,65229
2023-03-21 00:00:00+05:30,275.0,302.25,273.5,291.95,173192
2023-03-22 00:00:00+05:30,291.95,294.8,286.6,289.85,52696
2023-03-23 00:00:00+05:30,286.95,302.0,286.65,299.9,228472
2023-03-24 00:00:00+05:30,299.0,302.95,290.05,292.05,80809
2023-03-27 00:00:00+05:30,275.75,287.95,275.75,278.0,123483
2023-03-28 00:00:00+05:30,278.0,283.35,274.1,276.1,132468
2023-03-29 00:00:00+05:30,273.35,284.0,272.4,280.3,215948
2023-03-31 00:00:00+05:30,278.05,284.5,275.0,280.25,138689
2023-04-03 00:00:00+05:30,284.4,293.55,280.5,285.75,184857
2023-04-05 00:00:00+05:30,284.7,288.2,278.5,282.65,116597
2023-04-06 00:00:00+05:30,282.65,287.0,280.55,286.05,74563
2023-04-10 00:00:00+05:30,289.9,290.7,281.0,281.55,46791
2023-04-11 00:00:00+05:30,285.0,285.0,276.1,280.65,78718
2023-04-12 00:00:00+05:30,280.0,293.25,280.0,291.55,252331
2023-04-13 00:00:00+05:30,293.6,298.4,291.2,296.1,104964
2023-04-17 00:00:00+05:30,291.65,298.0,289.35,289.95,57665
2023-04-18 00:00:00+05:30,287.0,297.85,287.0,295.15,323326
2023-04-19 00:00:00+05:30,299.55,299.55,292.0,293.1,57466
2023-04-20 00:00:00+05:30,291.0,299.65,291.0,296.1,62905
2023-04-21 00:00:00+05:30,298.95,299.95,290.55,297.2,292698
2023-04-24 00:00:00+05:30,299.75,317.9,298.65,309.55,408181
2023-04-25 00:00:00+05:30,314.2,316.7,308.2,315.05,149604
2023-04-26 00:00:00+05:30,315.05,322.0,312.15,320.9,191192
2023-04-27 00:00:00+05:30,320.9,320.9,312.95,314.7,77236
2023-04-28 00:00:00+05:30,315.65,317.5,313.05,314.05,58369
2023-05-02 00:00:00+05:30,319.7,319.7,299.05,301.2,127941
2023-05-03 00:00:00+05:30,301.2,322.0,301.2,317.5,155216
2023-05-04 00:00:00+05:30,314.05,336.65,314.05,334.15,315540
2023-05-05 00:00:00+05:30,334.1,335.0,313.15,316.2,224122
2023-05-08 00:00:00+05:30,316.5,322.95,301.3,304.85,199989
2023-05-09 00:00:00+05:30,307.95,313.0,305.45,306.35,59059
2023-05-10 00:00:00+05:30,310.4,321.7,301.35,308.25,185379
2023-05-11 00:00:00+05:30,314.0,317.75,311.55,314.55,86908
2023-05-12 00:00:00+05:30,318.55,334.25,316.05,331.65,966319
2023-05-15 00:00:00+05:30,331.1,335.0,322.5,327.9,213764
2023-05-16 00:00:00+05:30,329.45,331.45,319.9,324.6,242543
2023-05-17 00:00:00+05:30,324.6,329.4,318.05,326.6,192804
2023-05-18 00:00:00+05:30,328.4,344.35,328.35,340.0,337437
2023-05-19 00:00:00+05:30,338.3,345.85,335.3,341.55,157329
2023-05-22 00:00:00+05:30,341.55,344.7,333.1,336.95,81440
2023-05-23 00:00:00+05:30,336.2,339.2,327.5,330.35,97277
2023-05-24 00:00:00+05:30,330.3,336.85,326.15,334.65,61011
2023-05-25 00:00:00+05:30,334.95,335.8,329.35,334.5,352132
2023-05-26 00:00:00+05:30,334.5,340.5,332.15,333.7,76098
2023-05-29 00:00:00+05:30,334.7,334.7,322.05,326.15,139782
2023-05-30 00:00:00+05:30,326.45,330.75,322.7,329.15,84896
2023-05-31 00:00:00+05:30,329.25,340.0,323.0,336.05,824432
2023-06-01 00:00:00+05:30,333.7,333.7,327.1,328.85,74116
2023-06-02 00:00:00+05:30,329.8,332.85,325.25,328.35,62322
2023-06-05 00:00:00+05:30,328.4,334.7,327.25,331.45,142217
2023-06-06 00:00:00+05:30,331.05,341.9,330.4,337.85,338410
2023-06-07 00:00:00+05:30,337.8,341.4,335.0,337.3,144310
2023-06-08 00:00:00+05:30,337.3,343.7,335.5,341.15,344971
2023-06-09 00:00:00+05:30,340.3,345.0,336.85,341.45,197114
2023-06-12 00:00:00+05:30,344.0,349.9,339.05,342.45,201327
2023-06-13 00:00:00+05:30,343.5,361.8,342.0,355.85,687460
