date,open,high,low,close,volume
2021-10-18 00:00:00+05:30,74.5,82.65,66.7,72.6,327190
2021-10-19 00:00:00+05:30,74.05,82.3,68.45,70.7,208910
2021-10-20 00:00:00+05:30,72.75,72.9,69.25,70.5,83230
2021-10-21 00:00:00+05:30,70.85,70.85,63.0,67.25,60370
2021-10-22 00:00:00+05:30,66.4,71.1,66.35,69.05,70710
2021-10-25 00:00:00+05:30,70.55,74.05,64.0,71.35,97300
2021-10-26 00:00:00+05:30,67.9,74.95,67.9,71.9,38970
2021-10-27 00:00:00+05:30,72.4,74.5,66.7,68.6,48880
2021-10-28 00:00:00+05:30,70.25,70.4,67.2,68.0,15860
2021-10-29 00:00:00+05:30,67.7,72.75,65.75,70.95,32320
2021-11-01 00:00:00+05:30,74.4,74.5,70.15,72.2,112140
2021-11-02 00:00:00+05:30,74.5,75.0,68.35,69.1,26830
2021-11-03 00:00:00+05:30,71.85,73.9,65.5,71.75,79970
2021-11-04 00:00:00+05:30,74.5,74.6,68.35,72.8,29710
2021-11-08 00:00:00+05:30,74.5,79.3,70.55,71.95,40820
2021-11-09 00:00:00+05:30,74.4,74.4,67.95,70.75,21280
2021-11-10 00:00:00+05:30,72.75,74.15,69.3,70.9,66200
2021-11-11 00:00:00+05:30,71.0,71.0,68.3,69.95,17780
2021-11-12 00:00:00+05:30,70.1,72.9,68.85,71.0,18980
2021-11-15 00:00:00+05:30,72.65,72.65,67.6,68.75,38330
2021-11-16 00:00:00+05:30,69.1,79.05,69.1,75.2,273190
2021-11-17 00:00:00+05:30,74.5,77.45,74.2,76.0,127580
2021-11-18 00:00:00+05:30,75.8,77.1,71.45,72.3,19400
2021-11-22 00:00:00+05:30,70.85,75.75,69.75,71.15,24300
2021-11-23 00:00:00+05:30,69.3,71.65,69.3,70.55,9950
2021-11-24 00:00:00+05:30,72.55,72.55,69.05,70.15,47410
2021-11-25 00:00:00+05:30,70.15,72.05,70.1,71.6,24130
2021-11-26 00:00:00+05:30,71.25,71.65,68.55,69.75,26740
2021-11-29 00:00:00+05:30,69.25,71.6,67.1,70.6,35670
2021-11-30 00:00:00+05:30,70.6,73.95,70.1,72.45,132250
