date,open,high,low,close,volume
2024-02-06 00:00:00+05:30,305.0,366.0,303.1,366.0,49965562
2024-02-07 00:00:00+05:30,397.95,423.7,357.05,363.95,15744091
2024-02-08 00:00:00+05:30,350.0,359.0,322.45,339.4,6307054
2024-02-09 00:00:00+05:30,342.5,355.45,335.25,344.35,1948328
2024-02-12 00:00:00+05:30,350.95,351.0,325.15,336.0,3931970
2024-02-13 00:00:00+05:30,330.95,330.95,302.0,309.3,2004515
2024-02-14 00:00:00+05:30,302.05,342.7,300.0,326.0,2674558
2024-02-15 00:00:00+05:30,327.8,333.9,316.8,319.85,1818042
2024-02-16 00:00:00+05:30,322.8,379.45,318.05,364.25,9069121
2024-02-19 00:00:00+05:30,359.05,399.6,356.4,389.95,4905999
2024-02-20 00:00:00+05:30,389.95,418.35,386.55,399.45,5680784
2024-02-21 00:00:00+05:30,400.95,407.0,378.0,387.3,2467308
2024-02-22 00:00:00+05:30,391.9,397.0,374.2,390.85,1129674
2024-02-23 00:00:00+05:30,392.1,403.65,385.0,388.65,933565
2024-02-26 00:00:00+05:30,388.5,406.9,377.55,388.7,2363686
2024-02-27 00:00:00+05:30,390.0,404.45,386.0,387.4,2274839
2024-02-28 00:00:00+05:30,390.35,399.55,356.1,372.1,2731822
2024-02-29 00:00:00+05:30,373.2,380.95,366.05,369.55,442802
2024-03-01 00:00:00+05:30,374.8,388.6,373.25,379.95,2105364
2024-03-02 00:00:00+05:30,382.95,387.4,378.65,380.15,125188
2024-03-04 00:00:00+05:30,383.3,388.35,362.25,365.8,695383
2024-03-05 00:00:00+05:30,366.95,367.4,343.55,345.05,1924966
2024-03-06 00:00:00+05:30,345.1,348.95,320.0,328.1,6024863
2024-03-07 00:00:00+05:30,334.95,336.7,318.15,321.35,999250
2024-03-11 00:00:00+05:30,323.8,324.5,306.05,309.25,2222881
2024-03-12 00:00:00+05:30,309.8,313.5,290.2,295.35,1857550
2024-03-13 00:00:00+05:30,296.3,313.4,266.7,280.2,1752178
2024-03-14 00:00:00+05:30,274.95,336.2,272.0,317.2,3605159
2024-03-15 00:00:00+05:30,319.7,333.8,312.75,325.5,1729852
2024-03-18 00:00:00+05:30,327.8,332.95,313.0,316.65,1830692
2024-03-19 00:00:00+05:30,317.3,321.9,303.45,310.15,2159117
2024-03-20 00:00:00+05:30,312.1,318.65,305.05,313.45,2166925
2024-03-21 00:00:00+05:30,318.6,324.25,314.4,317.9,544139
2024-03-22 00:00:00+05:30,318.4,326.7,310.3,315.3,2803891
2024-03-26 00:00:00+05:30,317.0,324.7,309.05,312.75,806155
2024-03-27 00:00:00+05:30,315.0,321.9,306.5,308.05,2718895
2024-03-28 00:00:00+05:30,311.0,323.55,306.7,310.0,2455581
2024-04-01 00:00:00+05:30,316.5,332.0,314.35,320.8,1473020
2024-04-02 00:00:00+05:30,321.8,327.0,316.5,324.6,712464
2024-04-03 00:00:00+05:30,324.0,330.85,321.6,326.9,1140009
2024-04-04 00:00:00+05:30,332.0,337.0,323.1,326.65,968516
2024-04-05 00:00:00+05:30,327.2,332.4,324.15,327.2,682936
2024-04-08 00:00:00+05:30,329.75,343.3,326.6,333.1,1321025
2024-04-09 00:00:00+05:30,337.7,337.7,321.55,326.1,455995
2024-04-10 00:00:00+05:30,328.4,329.5,322.6,325.35,486089
2024-04-12 00:00:00+05:30,325.15,326.05,316.85,319.85,443711
2024-04-15 00:00:00+05:30,306.6,320.35,304.0,308.35,659780
2024-04-16 00:00:00+05:30,305.65,314.4,304.8,308.3,667474
2024-04-18 00:00:00+05:30,310.0,313.75,301.0,302.3,508484
2024-04-19 00:00:00+05:30,301.0,301.0,291.0,298.6,276822
2024-04-22 00:00:00+05:30,302.7,308.0,299.95,302.85,303895
2024-04-23 00:00:00+05:30,306.0,306.0,301.5,302.15,195694
2024-04-24 00:00:00+05:30,306.0,306.95,297.85,298.65,363459
2024-04-25 00:00:00+05:30,301.3,305.85,297.1,299.5,289995
2024-04-26 00:00:00+05:30,302.55,304.0,297.0,299.0,224301
2024-04-29 00:00:00+05:30,301.5,308.6,298.05,306.0,408032
2024-04-30 00:00:00+05:30,307.65,307.65,301.0,302.55,227827
2024-05-02 00:00:00+05:30,303.0,312.0,299.3,305.6,764619
2024-05-03 00:00:00+05:30,306.9,307.8,298.05,299.9,380308
2024-05-06 00:00:00+05:30,301.9,303.1,291.35,293.75,362991
2024-05-07 00:00:00+05:30,294.3,295.45,279.0,283.35,922911
2024-05-08 00:00:00+05:30,283.35,286.75,280.1,281.7,190272
2024-05-09 00:00:00+05:30,282.5,283.75,267.5,268.6,572318
2024-05-10 00:00:00+05:30,270.0,274.8,262.55,271.3,332612
2024-05-13 00:00:00+05:30,272.5,275.95,260.25,265.85,493162
2024-05-14 00:00:00+05:30,260.1,273.4,259.1,267.45,770240
2024-05-15 00:00:00+05:30,267.55,289.45,267.0,280.8,752573
2024-05-16 00:00:00+05:30,285.2,288.45,280.05,281.45,381060
2024-05-17 00:00:00+05:30,282.8,282.8,277.2,278.15,203799
2024-05-18 00:00:00+05:30,279.9,281.0,274.0,277.55,66718
2024-05-21 00:00:00+05:30,277.0,280.2,268.0,274.95,194754
2024-05-22 00:00:00+05:30,275.95,279.0,274.15,274.95,141434
2024-05-23 00:00:00+05:30,274.95,278.0,273.0,274.5,80341
