date,open,high,low,close,volume
2021-03-24 00:00:00+05:30,520.0,548.95,502.25,526.8,16135816
2021-03-25 00:00:00+05:30,511.5,518.8,491.0,494.75,2119014
2021-03-26 00:00:00+05:30,502.0,510.0,491.0,495.7,925705
2021-03-30 00:00:00+05:30,497.0,504.45,475.0,480.3,530051
2021-03-31 00:00:00+05:30,477.9,497.5,474.0,489.15,527647
2021-04-01 00:00:00+05:30,495.1,519.8,492.85,516.95,695372
2021-04-05 00:00:00+05:30,525.0,558.1,515.55,540.95,1583749
2021-04-06 00:00:00+05:30,545.5,560.9,545.5,552.1,918972
2021-04-07 00:00:00+05:30,558.75,563.75,545.15,557.4,758597
2021-04-08 00:00:00+05:30,560.75,562.4,548.6,552.65,386096
2021-04-09 00:00:00+05:30,555.2,558.8,549.1,555.25,229741
2021-04-12 00:00:00+05:30,548.0,586.0,516.35,553.65,1187225
2021-04-13 00:00:00+05:30,559.1,585.0,551.9,580.4,659160
2021-04-15 00:00:00+05:30,581.9,600.95,564.2,594.7,671215
2021-04-16 00:00:00+05:30,594.0,607.0,573.35,579.95,465893
2021-04-19 00:00:00+05:30,567.0,569.4,550.0,552.05,206642
2021-04-20 00:00:00+05:30,563.0,570.65,548.8,556.55,205041
2021-04-22 00:00:00+05:30,560.9,560.9,549.0,554.4,202740
2021-04-23 00:00:00+05:30,559.0,599.95,554.15,590.0,946298
2021-04-26 00:00:00+05:30,599.2,609.9,591.15,602.55,784396
2021-04-27 00:00:00+05:30,610.0,637.0,603.2,629.6,1399747
2021-04-28 00:00:00+05:30,640.0,662.5,635.0,640.0,1017198
2021-04-29 00:00:00+05:30,654.0,658.0,622.0,632.2,494639
2021-04-30 00:00:00+05:30,624.0,639.95,618.35,624.25,396130
2021-05-03 00:00:00+05:30,624.4,641.5,612.0,629.55,396478
2021-05-04 00:00:00+05:30,635.05,646.85,623.0,636.55,427112
2021-05-05 00:00:00+05:30,642.65,689.0,633.05,682.85,1272598
2021-05-06 00:00:00+05:30,689.9,716.8,676.5,703.9,1124629
2021-05-07 00:00:00+05:30,709.9,726.0,702.05,721.1,580306
2021-05-10 00:00:00+05:30,727.2,751.9,725.2,736.15,807643
2021-05-11 00:00:00+05:30,731.9,739.0,714.05,729.9,615711
2021-05-12 00:00:00+05:30,730.0,741.8,710.55,728.5,473991
2021-05-14 00:00:00+05:30,733.0,743.8,718.05,734.45,562187
2021-05-17 00:00:00+05:30,736.4,764.05,735.1,755.85,417606
2021-05-18 00:00:00+05:30,764.0,775.85,760.0,767.75,519560
2021-05-19 00:00:00+05:30,780.0,798.95,766.0,771.5,522542
2021-05-20 00:00:00+05:30,790.0,790.0,766.25,771.55,309875
2021-05-21 00:00:00+05:30,780.0,780.0,763.2,769.4,314708
2021-05-24 00:00:00+05:30,772.3,772.4,752.05,768.3,287173
2021-05-25 00:00:00+05:30,774.0,774.0,759.0,762.05,131738
2021-05-26 00:00:00+05:30,766.0,782.95,762.0,772.4,303709
2021-05-27 00:00:00+05:30,773.95,773.95,764.0,767.35,94218
2021-05-28 00:00:00+05:30,771.0,771.6,755.1,761.5,96321
2021-05-31 00:00:00+05:30,759.95,770.95,746.0,754.25,111701
2021-06-01 00:00:00+05:30,754.9,754.9,720.4,726.9,235935
2021-06-02 00:00:00+05:30,724.0,737.3,723.6,733.75,95426
2021-06-03 00:00:00+05:30,739.9,783.85,739.9,774.95,447534
2021-06-04 00:00:00+05:30,782.5,788.8,764.05,769.25,136135
2021-06-07 00:00:00+05:30,790.0,790.0,768.0,772.9,140131
2021-06-08 00:00:00+05:30,772.0,778.9,758.05,760.9,116016
2021-06-09 00:00:00+05:30,766.95,768.5,741.55,749.65,119709
2021-06-10 00:00:00+05:30,756.0,773.7,748.1,768.7,97603
2021-06-11 00:00:00+05:30,774.75,793.1,755.0,777.65,203478
2021-06-14 00:00:00+05:30,791.5,808.0,753.1,757.3,520041
2021-06-15 00:00:00+05:30,768.0,787.0,757.5,761.35,233190
2021-06-16 00:00:00+05:30,763.9,763.9,748.0,753.0,114806
2021-06-17 00:00:00+05:30,753.0,753.0,738.0,741.1,105781
2021-06-18 00:00:00+05:30,746.5,748.75,702.05,733.2,147697
2021-06-21 00:00:00+05:30,717.0,735.05,700.0,724.2,121986
2021-06-22 00:00:00+05:30,730.0,744.3,726.2,732.95,113716
2021-06-23 00:00:00+05:30,739.7,751.0,728.6,743.95,233522
2021-06-24 00:00:00+05:30,748.85,750.0,730.5,744.35,168748
2021-06-25 00:00:00+05:30,740.0,748.2,728.6,745.25,162493
2021-06-28 00:00:00+05:30,747.0,747.65,733.0,744.0,85557
2021-06-29 00:00:00+05:30,742.9,774.0,739.25,754.65,301183
