date,open,high,low,close,volume
2019-01-01 00:00:00+05:30,182.6,185.9,181.0,184.25,24160878
2019-01-02 00:00:00+05:30,183.45,187.0,182.5,184.65,32583205
2019-01-03 00:00:00+05:30,185.25,186.0,183.5,184.1,20239949
2019-01-04 00:00:00+05:30,184.85,190.3,181.55,189.65,45914917
2019-01-07 00:00:00+05:30,193.9,194.4,185.8,187.15,40515242
2019-01-08 00:00:00+05:30,188.0,193.2,185.0,192.35,40559174
2019-01-09 00:00:00+05:30,193.95,193.95,181.5,186.45,63673200
2019-01-10 00:00:00+05:30,188.0,188.9,184.2,186.9,36296992
2019-01-11 00:00:00+05:30,188.7,189.9,182.75,184.25,33594786
2019-01-14 00:00:00+05:30,185.0,198.0,182.3,195.35,98089778
2019-01-15 00:00:00+05:30,196.6,205.0,196.1,203.0,82308056
2019-01-16 00:00:00+05:30,204.8,209.15,203.5,208.35,58015710
2019-01-17 00:00:00+05:30,209.25,209.55,200.25,201.5,60534702
2019-01-18 00:00:00+05:30,202.0,203.05,196.2,198.6,41858021
2019-01-21 00:00:00+05:30,199.3,200.5,190.7,191.95,37304992
2019-01-22 00:00:00+05:30,191.5,193.8,187.4,192.2,38382360
2019-01-23 00:00:00+05:30,194.5,199.5,193.65,197.25,46394304
2019-01-24 00:00:00+05:30,199.0,235.0,189.0,215.4,127603904
2019-01-25 00:00:00+05:30,225.0,245.0,218.0,219.6,183425643
2019-01-28 00:00:00+05:30,222.45,223.0,206.1,207.5,58015753
2019-01-29 00:00:00+05:30,207.0,209.45,195.7,202.9,76651017
2019-01-30 00:00:00+05:30,211.0,212.0,198.3,199.5,65312137
2019-01-31 00:00:00+05:30,202.0,202.45,190.15,194.1,67794993
2019-02-01 00:00:00+05:30,195.9,197.2,181.25,185.6,66597684
2019-02-04 00:00:00+05:30,184.25,184.7,175.6,179.8,60771732
2019-02-05 00:00:00+05:30,179.8,183.5,175.0,176.1,44477885
2019-02-06 00:00:00+05:30,178.9,178.95,173.0,176.45,45391450
2019-02-07 00:00:00+05:30,177.1,181.8,175.25,176.95,44494971
2019-02-08 00:00:00+05:30,177.0,178.5,173.25,175.1,32561739
2019-02-11 00:00:00+05:30,175.1,176.0,170.1,173.25,29509227
2019-02-12 00:00:00+05:30,173.0,176.25,172.1,172.65,22298518
2019-02-13 00:00:00+05:30,173.95,174.7,168.1,169.45,26229114
2019-02-14 00:00:00+05:30,186.35,224.0,186.35,221.25,264725005
2019-02-15 00:00:00+05:30,226.9,226.9,211.3,219.0,141193124
2019-02-18 00:00:00+05:30,201.0,216.7,201.0,213.55,89969426
2019-02-19 00:00:00+05:30,215.1,218.1,211.55,212.85,33990276
2019-02-20 00:00:00+05:30,216.9,219.8,213.35,217.85,48429455
2019-02-21 00:00:00+05:30,218.85,218.85,214.0,215.15,27975632
2019-02-22 00:00:00+05:30,214.5,223.7,213.1,222.0,51329944
2019-02-25 00:00:00+05:30,223.85,230.6,221.2,229.1,47825222
2019-02-26 00:00:00+05:30,223.2,234.45,220.1,229.5,84298892
2019-02-27 00:00:00+05:30,233.0,236.8,223.65,228.2,74650022
2019-02-28 00:00:00+05:30,230.0,232.75,226.8,231.15,45753501
2019-03-01 00:00:00+05:30,234.9,238.5,234.1,237.6,42006406
2019-03-05 00:00:00+05:30,236.0,240.75,234.5,237.45,30848699
2019-03-06 00:00:00+05:30,238.1,240.65,232.95,235.3,24658589
2019-03-07 00:00:00+05:30,235.5,236.0,228.65,231.7,27229610
2019-03-08 00:00:00+05:30,231.7,234.9,229.5,232.3,23233663
2019-03-11 00:00:00+05:30,233.0,238.0,231.6,236.3,21189817
2019-03-12 00:00:00+05:30,238.0,239.2,235.0,235.85,22100817
2019-03-13 00:00:00+05:30,236.0,247.6,232.7,244.3,58883298
2019-03-14 00:00:00+05:30,248.0,254.0,246.15,249.85,59684202
2019-03-15 00:00:00+05:30,251.7,252.8,243.5,245.05,38715468
2019-03-18 00:00:00+05:30,247.0,248.55,241.8,245.95,24825632
2019-03-19 00:00:00+05:30,246.65,250.5,245.0,248.8,21448040
2019-03-20 00:00:00+05:30,248.75,253.0,246.4,252.15,26817389
2019-03-22 00:00:00+05:30,253.0,257.5,250.35,252.6,34018752
2019-03-25 00:00:00+05:30,250.0,250.4,246.1,247.25,23540100
2019-03-26 00:00:00+05:30,247.5,254.8,247.45,253.7,20571726
2019-03-27 00:00:00+05:30,258.4,269.85,256.1,268.45,84155309
2019-03-28 00:00:00+05:30,270.65,277.7,268.3,276.1,48078072
2019-03-29 00:00:00+05:30,277.9,281.5,273.55,275.1,35855963
2019-04-01 00:00:00+05:30,276.0,280.0,273.8,275.9,27807546
2019-04-02 00:00:00+05:30,278.2,282.05,274.8,280.3,24708930
2019-04-03 00:00:00+05:30,283.5,286.0,272.2,273.7,31808834
2019-04-04 00:00:00+05:30,274.0,275.0,265.0,268.05,42003554
2019-04-05 00:00:00+05:30,270.0,274.0,264.25,266.85,28319923
2019-04-08 00:00:00+05:30,267.1,268.1,258.25,260.05,26252469
2019-04-09 00:00:00+05:30,261.9,272.0,258.7,270.6,39195173
2019-04-10 00:00:00+05:30,272.0,275.45,267.5,268.25,32016249
2019-04-11 00:00:00+05:30,268.75,270.25,264.0,269.05,20363799
2019-04-12 00:00:00+05:30,269.7,271.9,265.8,267.9,21736271
2019-04-15 00:00:00+05:30,268.45,269.9,264.8,265.5,13509220
2019-04-16 00:00:00+05:30,267.55,269.2,265.0,266.45,16368625
2019-04-18 00:00:00+05:30,266.4,267.95,254.05,255.8,32491440
2019-04-22 00:00:00+05:30,253.95,254.4,237.0,238.35,37467080
2019-04-23 00:00:00+05:30,239.0,244.65,230.5,232.7,43232834
2019-04-24 00:00:00+05:30,233.0,240.4,231.2,239.15,38516951
2019-04-25 00:00:00+05:30,241.0,250.4,236.05,237.05,71641179
2019-04-26 00:00:00+05:30,239.9,240.35,232.1,237.2,48524121
2019-04-30 00:00:00+05:30,213.5,213.5,165.6,168.0,217219923
2019-05-02 00:00:00+05:30,162.0,178.0,160.0,173.75,124177861
2019-05-03 00:00:00+05:30,177.0,177.8,169.7,175.9,58953903
2019-05-06 00:00:00+05:30,168.05,171.9,165.5,166.25,49500412
2019-05-07 00:00:00+05:30,169.0,169.95,163.65,164.75,40446604
2019-05-08 00:00:00+05:30,165.0,166.5,160.0,160.75,47387735
2019-05-09 00:00:00+05:30,158.0,171.4,156.5,170.3,88653903
2019-05-10 00:00:00+05:30,172.75,174.25,162.8,163.85,62257935
2019-05-13 00:00:00+05:30,164.9,165.45,154.0,154.7,60884255
2019-05-14 00:00:00+05:30,155.1,158.9,151.4,155.85,62642515
2019-05-15 00:00:00+05:30,154.2,154.3,141.8,142.95,95899314
2019-05-16 00:00:00+05:30,144.0,145.9,134.65,137.75,82730883
2019-05-17 00:00:00+05:30,141.0,146.0,132.45,134.15,117940438
2019-05-20 00:00:00+05:30,142.5,144.9,137.0,143.55,82205265
2019-05-21 00:00:00+05:30,145.0,145.0,138.5,141.0,59499614
2019-05-22 00:00:00+05:30,141.0,141.25,135.5,137.55,58669730
2019-05-23 00:00:00+05:30,143.9,150.8,138.75,139.75,111719246
2019-05-24 00:00:00+05:30,141.0,142.9,139.5,141.2,45274708
2019-05-27 00:00:00+05:30,142.0,148.45,140.85,146.8,67258367
